% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
3.481	1	5	1	5500.39	0
3.482	1	3	2	7215.65	0
3.483	1	1	3	3934.96	0
3.484	1	2	4	2604.63	0
3.486	1	4	6	1362.71	0
3.521	1	5	1	6544.01	0
3.522	1	3	2	5053.27	0
3.523	1	1	3	3800.52	0
3.524	1	2	4	2186.37	0
3.526	1	4	6	7023.79	0
3.561	1	5	1	13939.7	0
3.562	1	3	2	6568.08	0
3.563	1	1	3	2418.21	0
3.564	1	2	4	1195.42	0
3.566	1	4	6	1334.58	0
3.601	1	5	1	10122.1	0
3.602	1	3	2	33731	0
3.603	1	1	3	927.964	0
3.604	1	2	4	1969.96	0
3.606	1	4	6	1872.58	0
3.641	1	5	1	4472.39	0
3.642	1	3	2	7988.86	0
3.643	1	1	3	1040.78	0
3.644	1	2	4	814.8	0
3.646	1	4	6	2221.89	0
3.681	1	5	1	2418.55	0
3.682	1	3	2	8667.35	0
3.683	1	1	3	2766.72	0
3.684	1	2	4	823.975	0
3.686	1	4	6	1735.94	0
3.721	1	5	1	1007.79	0
3.722	1	3	2	20341.8	0
3.723	1	1	3	3227.69	0
3.724	1	2	4	644.202	0
3.726	1	4	6	3111.42	0
3.761	1	5	1	1532	0
3.762	1	3	2	10718.9	0
3.763	1	1	3	2649.59	0
3.764	1	2	4	921.366	0
3.766	1	4	6	1081.63	0
3.801	1	5	1	2867.71	0
3.802	1	3	2	3353.02	0
3.803	1	1	3	4057.16	0
3.804	1	2	4	1401.11	0
3.806	1	4	6	2222.88	0
3.841	1	5	1	2549	0
3.842	1	3	2	6786.48	0
3.843	1	1	3	4603.9	0
3.844	1	2	4	1845.33	0
3.846	1	4	6	5938.07	0
3.881	1	5	1	9983.05	0
3.882	1	3	2	16213.3	0
3.883	1	1	3	1011.23	0
3.884	1	2	4	3626.01	0
3.886	1	4	6	1644.51	0
3.921	1	5	1	16276.2	0
3.922	1	3	2	2100.36	0
3.923	1	1	3	729.785	0
3.924	1	2	4	2177.77	0
3.926	1	4	6	2767	0
3.961	1	5	1	3747.81	0
3.962	1	3	2	2217.13	0
3.963	1	1	3	416.592	0
3.964	1	2	4	1847.32	0
3.966	1	4	6	4382.56	0
4.001	1	5	1	7988.88	0
4.002	1	3	2	9662.09	0
4.003	1	1	3	3665.43	0
4.004	1	2	4	1643.88	0
4.006	1	4	6	4708.05	0
4.041	1	5	1	5858.42	0
4.042	1	3	2	5998.68	0
4.043	1	1	3	5210.61	0
