% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.192214	1	1	1	5.85012e-12	12551.5	0
0.193214	1	1	1	5.86026e-12	12582.6	0
0.194214	1	1	1	5.86623e-12	12604.9	0
0.195214	1	1	1	5.87493e-12	12633.1	0
0.196214	1	1	1	5.88067e-12	12655.1	0
0.197214	1	1	1	5.88758e-12	12679.5	0
0.198214	1	1	1	5.89281e-12	12700.4	0
0.199214	1	1	1	5.89759e-12	12720.2	0
0.200214	1	1	1	5.90201e-12	12739.3	0
0.201214	1	1	1	5.90429e-12	12753.6	0
0.202214	1	1	1	5.9076e-12	12770.2	0
0.203214	1	1	1	5.90704e-12	12778.2	0
0.204214	1	1	1	5.90896e-12	12791.5	0
0.205214	1	1	1	5.90521e-12	12792.4	0
0.206214	1	1	1	5.90495e-12	12800.7	0
0.207214	1	1	1	5.89889e-12	12796.2	0
0.208214	1	1	1	5.89567e-12	12797.7	0
0.209214	1	1	1	5.88742e-12	12788.1	0
0.210214	1	1	1	5.88025e-12	12780.5	0
0.211214	1	1	1	5.86952e-12	12765	0
0.212214	1	1	1	5.8581e-12	12747.6	0
0.213214	1	1	1	5.84466e-12	12725.6	0
0.214214	1	1	1	5.82869e-12	12697.8	0
0.215214	1	1	1	5.81234e-12	12668.7	0
0.216214	1	1	1	5.79163e-12	12629.9	0
0.217214	1	1	1	5.77221e-12	12593.4	0
0.218214	1	1	1	5.74661e-12	12543.2	0
0.219214	1	1	1	5.72406e-12	12499.1	0
0.220214	1	1	1	5.69351e-12	12437.2	0
0.221214	1	1	1	5.66618e-12	12381.9	0
0.222214	1	1	1	5.6323e-12	12311.9	0
0.223214	1	1	1	5.60008e-12	12245.1	0
0.224214	1	1	1	5.56315e-12	12167.5	0
0.225214	1	1	1	5.52641e-12	12089.8	0
0.226214	1	1	1	5.48721e-12	12006.4	0
0.227214	1	1	1	5.44628e-12	11918.7	0
0.228214	1	1	1	5.40437e-12	11828.3	0
0.229214	1	1	1	5.35909e-12	11730.1	0
0.230214	1	1	1	5.31472e-12	11633.4	0
0.231214	1	1	1	5.26538e-12	11525.4	0
0.232214	1	1	1	5.21884e-12	11423	0
0.233214	1	1	1	5.16582e-12	11306	0
0.234214	1	1	1	5.11666e-12	11196.9	0
0.235214	1	1	1	5.06124e-12	11073.6	0
0.236214	1	1	1	5.00904e-12	10957	0
0.237214	1	1	1	4.95261e-12	10830.6	0
0.238214	1	1	1	4.89793e-12	10707.6	0
0.239214	1	1	1	4.84102e-12	10579.4	0
0.240214	1	1	1	4.78449e-12	10451.5	0
0.241214	1	1	1	4.72771e-12	10322.7	0
0.242214	1	1	1	4.67002e-12	10191.5	0
0.243214	1	1	1	4.61402e-12	10063.7	0
0.244214	1	1	1	4.55637e-12	9931.87	0
0.245214	1	1	1	4.50243e-12	9807.81	0
0.246214	1	1	1	4.44523e-12	9676.38	0
0.247214	1	1	1	4.39328e-12	9556.06	0
0.248214	1	1	1	4.33721e-12	9426.57	0
0.249214	1	1	1	4.28659e-12	9308.65	0
0.250214	1	1	1	4.23381e-12	9185.88	0
0.251214	1	1	1	4.18531e-12	9072.21	0
0.252214	1	1	1	4.13656e-12	8957.87	0
0.253214	1	1	1	4.09103e-12	8850.38	0
0.254214	1	1	1	4.04706e-12	8746.21	0
0.255214	1	1	1	4.00534e-12	8646.85	0
0.256214	1	1	1	3.96693e-12	8554.64	0
0.257214	1	1	1	3.92986e-12	8465.38	0
0.258214	1	1	1	3.89775e-12	8386.86	0
0.259214	1	1	1	3.86617e-12	8309.63	0
0.260214	1	1	1	3.84111e-12	8246.54	0
0.261214	1	1	1	3.81582e-12	8183.2	0
0.262214	1	1	1	3.79781e-12	8135.67	0
0.263214	1	1	1	3.78082e-12	8090.63	0
0.264214	1	1	1	3.77056e-12	8060.28	0
0.265214	1	1	1	3.76236e-12	8034.73	0
0.266214	1	1	1	3.75996e-12	8021.97	0
0.267214	1	1	1	3.76104e-12	8017.1	0
0.268214	1	1	1	3.76701e-12	8023.14	0
0.269214	1	1	1	3.77778e-12	8039.93	0
0.270214	1	1	1	3.79252e-12	8065.76	0
0.271214	1	1	1	3.8133e-12	8105.03	0
0.272214	1	1	1	3.83711e-12	8151.42	0
0.273214	1	1	1	3.86815e-12	8213.76	0
0.274214	1	1	1	3.90121e-12	8281.21	0
0.275214	1	1	1	3.94243e-12	8366.56	0
0.276214	1	1	1	3.98503e-12	8455.76	0
0.277214	1	1	1	4.03558e-12	8562.44	0
0.278214	1	1	1	4.08856e-12	8675.17	0
0.279214	1	1	1	4.14834e-12	8803.05	0
0.280214	1	1	1	4.21154e-12	8939.05	0
0.281214	1	1	1	4.28046e-12	9087.94	0
0.282214	1	1	1	4.35392e-12	9247.3	0
0.283214	1	1	1	4.43162e-12	9416.47	0
0.284214	1	1	1	4.51464e-12	9597.73	0
0.285214	1	1	1	4.60045e-12	9785.76	0
0.286214	1	1	1	4.69256e-12	9987.88	0
0.287214	1	1	1	4.78586e-12	10193.4	0
0.288214	1	1	1	4.88646e-12	10415.2	0
0.289214	1	1	1	4.98654e-12	10636.7	0
0.290214	1	1	1	5.09395e-12	10874.4	0
0.291214	1	1	1	5.20102e-12	11112.2	0
0.292214	1	1	1	5.31411e-12	11363.4	0
0.293214	1	1	1	5.42768e-12	11616.4	0
0.294214	1	1	1	5.54551e-12	11879.1	0
0.295214	1	1	1	5.66473e-12	12145.4	0
0.296214	1	1	1	5.78629e-12	12417.2	0
0.297214	1	1	1	5.91024e-12	12694.7	0
0.298214	1	1	1	6.03447e-12	12973.3	0
0.299214	1	1	1	6.16217e-12	13259.8	0
0.300214	1	1	1	6.28853e-12	13543.9	0
0.301214	1	1	1	6.41972e-12	13838.7	0
0.302214	1	1	1	6.54655e-12	14124.6	0
0.303214	1	1	1	6.67873e-12	14422.2	0
0.304214	1	1	1	6.80522e-12	14707.9	0
0.305214	1	1	1	6.93598e-12	15003.1	0
0.306214	1	1	1	7.06204e-12	15288.4	0
0.307214	1	1	1	7.19005e-12	15578	0
0.308214	1	1	1	7.31453e-12	15860.1	0
0.309214	1	1	1	7.43845e-12	16141.2	0
0.310214	1	1	1	7.56018e-12	16417.6	0
0.311214	1	1	1	7.67873e-12	16687.2	0
0.312214	1	1	1	7.79659e-12	16955.2	0
0.313214	1	1	1	7.90851e-12	17210.4	0
0.314214	1	1	1	8.0214e-12	17467.6	0
0.315214	1	1	1	8.12549e-12	17705.6	0
0.316214	1	1	1	8.23237e-12	17949.5	0
0.317214	1	1	1	8.32752e-12	18167.7	0
0.318214	1	1	1	8.42532e-12	18391.5	0
0.319214	1	1	1	8.51338e-12	18593.8	0
0.320214	1	1	1	8.60148e-12	18796	0
0.321214	1	1	1	8.68099e-12	18979.1	0
0.322214	1	1	1	8.75777e-12	19156	0
0.323214	1	1	1	8.82791e-12	19318	0
0.324214	1	1	1	8.89251e-12	19467.6	0
0.325214	1	1	1	8.95256e-12	19606.8	0
0.326214	1	1	1	9.00424e-12	19727.2	0
0.327214	1	1	1	9.0536e-12	19842.1	0
0.328214	1	1	1	9.09177e-12	19932.1	0
0.329214	1	1	1	9.12996e-12	20021.5	0
0.330214	1	1	1	9.15417e-12	20079.9	0
0.331214	1	1	1	9.17951e-12	20140.1	0
0.332214	1	1	1	9.1908e-12	20169	0
0.333214	1	1	1	9.20183e-12	20196.7	0
0.334214	1	1	1	9.20133e-12	20198.5	0
0.335214	1	1	1	9.19798e-12	20193.5	0
0.336214	1	1	1	9.18568e-12	20168.1	0
0.337214	1	1	1	9.16847e-12	20131.3	0
0.338214	1	1	1	9.14538e-12	20081	0
0.339214	1	1	1	9.11453e-12	20012.9	0
0.340214	1	1	1	9.07996e-12	19936	0
0.341214	1	1	1	9.03531e-12	19836.2	0
0.342214	1	1	1	8.98955e-12	19733.2	0
0.343214	1	1	1	8.93156e-12	19602.7	0
0.344214	1	1	1	8.87483e-12	19474.2	0
0.345214	1	1	1	8.80433e-12	19314.7	0
0.346214	1	1	1	8.73508e-12	19157.2	0
0.347214	1	1	1	8.65492e-12	18975	0
0.348214	1	1	1	8.57395e-12	18790.2	0
0.349214	1	1	1	8.48491e-12	18587	0
0.350214	1	1	1	8.39316e-12	18377.1	0
0.351214	1	1	1	8.29609e-12	18154.7	0
0.352214	1	1	1	8.1946e-12	17921.9	0
0.353214	1	1	1	8.09046e-12	17682.6	0
0.354214	1	1	1	7.9804e-12	17429.5	0
0.355214	1	1	1	7.8702e-12	17175.4	0
0.356214	1	1	1	7.75328e-12	16905.9	0
0.357214	1	1	1	7.6387e-12	16640.8	0
0.358214	1	1	1	7.51577e-12	16356.7	0
0.359214	1	1	1	7.39607e-12	16079	0
0.360214	1	1	1	7.26948e-12	15785.6	0
0.361214	1	1	1	7.14532e-12	15496.8	0
0.362214	1	1	1	7.0168e-12	15198	0
0.363214	1	1	1	6.88949e-12	14901.2	0
0.364214	1	1	1	6.76018e-12	14599.5	0
0.365214	1	1	1	6.63103e-12	14297.6	0
0.366214	1	1	1	6.50205e-12	13995.5	0
0.367214	1	1	1	6.37235e-12	13691.5	0
0.368214	1	1	1	6.24483e-12	13391.8	0
0.369214	1	1	1	6.11586e-12	13088.6	0
0.370214	1	1	1	5.99085e-12	12793.5	0
0.371214	1	1	1	5.86384e-12	12494	0
0.372214	1	1	1	5.74209e-12	12205.4	0
0.373214	1	1	1	5.61848e-12	11912.8	0
0.374214	1	1	1	5.50022e-12	11631.5	0
0.375214	1	1	1	5.38219e-12	11350.7	0
0.376214	1	1	1	5.26865e-12	11079.5	0
0.377214	1	1	1	5.15669e-12	10811.7	0
0.378214	1	1	1	5.04852e-12	10552.1	0
0.379214	1	1	1	4.94334e-12	10299.1	0
0.380214	1	1	1	4.84136e-12	10053.2	0
0.381214	1	1	1	4.74361e-12	9816.48	0
0.382214	1	1	1	4.6485e-12	9585.88	0
0.383214	1	1	1	4.55871e-12	9366.83	0
0.384214	1	1	1	4.47107e-12	9153.02	0
