% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
8342	1	5	3	0	28	2196	0	1	0
8450	1	2	5	0	28	2196	0	1	0
8473	1	5	3	0	28	2196	0	1	0
8580	1	2	5	0	28	2196	0	1	0
8610	1	1	4	0	28	2196	0	1	0
8620	1	5	3	0	28	2196	0	1	0
8632	1	2	5	0	28	2196	0	1	0
8645	1	3	1	0	28	2196	0	1	0
8652	1	4	2	0	28	2196	0	1	0
8748	1	3	1	0	28	2196	0	1	0
8803	1	2	5	0	28	2196	0	1	0
8807	1	1	4	0	28	2196	0	1	0
8809	1	3	1	0	28	2196	0	1	0
8817	1	4	2	0	28	2196	0	1	0
8865	1	2	5	0	28	2196	0	1	0
8880	1	5	3	0	28	2196	0	1	0
8946	1	1	4	0	28	2196	0	1	0
8996	1	3	1	0	28	2196	0	1	0
8998	1	1	4	0	28	2196	0	1	0
9013	1	4	2	0	28	2196	0	1	0
9018	1	1	4	0	28	2196	0	1	0
9060	1	2	5	0	28	2196	0	1	0
9075	1	3	1	0	28	2196	0	1	0
9102	1	5	3	0	28	2196	0	1	0
9144	1	4	2	0	28	2196	0	1	0
9176	1	4	2	0	28	2196	0	1	0
9185	1	1	4	0	28	2196	0	1	0
9202	1	5	3	0	28	2196	0	1	0
9252	1	2	5	0	28	2196	0	1	0
9262	1	1	4	0	28	2196	0	1	0
9387	1	2	5	0	28	2196	0	1	0
9489	1	3	1	0	28	2196	0	1	0
9492	1	1	4	0	28	2196	0	1	0
9548	1	3	1	0	28	2196	0	1	0
9556	1	1	4	0	28	2196	0	1	0
9630	1	2	5	0	28	2196	0	1	0
9722	1	3	1	0	28	2196	0	1	0
9732	1	2	5	0	28	2196	0	1	0
9789	1	4	2	0	28	2196	0	1	0
9918	1	4	2	0	28	2196	0	1	0
9931	1	5	3	0	28	2196	0	1	0
10059	1	1	4	0	28	2196	0	1	0
10105	1	2	5	0	28	2196	0	1	0
10125	1	1	4	0	28	2196	0	1	0
10266	1	1	4	0	28	2196	0	1	0
10389	1	3	1	0	28	2196	0	1	0
10439	1	3	1	0	28	2196	0	1	0
10480	1	2	5	0	28	2196	0	1	0
10577	1	3	1	0	28	2196	0	1	0
10585	1	4	2	0	28	2196	0	1	0
10596	1	1	4	0	28	2196	0	1	0
10631	1	5	3	0	28	2196	0	1	0
10651	1	3	1	0	28	2196	0	1	0
10677	1	4	2	0	28	2196	0	1	0
10682	1	3	1	0	28	2196	0	1	0
10803	1	4	2	0	28	2196	0	1	0
10835	1	2	5	0	28	2196	0	1	0
10869	1	5	3	0	28	2196	0	1	0
10921	1	3	1	0	28	2196	0	1	0
10994	1	1	4	0	28	2196	0	1	0
11049	1	4	2	0	28	2196	0	1	0
11085	1	2	5	0	28	2196	0	1	0
11176	1	2	5	0	28	2196	0	1	0
11217	1	3	1	0	28	2196	0	1	0
11255	1	3	1	0	28	2196	0	1	0
11256	1	1	4	0	28	2196	0	1	0
11314	1	4	2	0	28	2196	0	1	0
11333	1	1	4	0	28	2196	0	1	0
11379	1	5	3	0	28	2196	0	1	0
11388	1	3	1	0	28	2196	0	1	0
11393	1	1	4	0	28	2196	0	1	0
